,player,team,age,position,Mins,Passing Accuracy,,league,season
203,Elliot Anderson,Newcastle,21,AM(CL),1024,82.9,,ENG-Premier League,2324
204,James Trafford,Burnley,21,GK,2520,62.1,,ENG-Premier League,2324
205,Alisson Becker,Liverpool,31,GK,2520,85.1,,ENG-Premier League,2324
206,Moussa Diaby,Aston Villa,24,"M(CLR),FW",2188,82.6,,ENG-Premier League,2324
207,Mark Flekken,Brentford,31,GK,3286,69.4,,ENG-Premier League,2324
208,Teden Mengi,Luton,22,D(C),2470,78.2,,ENG-Premier League,2324
209,Bart Verbruggen,Brighton,21,GK,1890,85.6,,ENG-Premier League,2324
210,Lukasz Fabianski,West Ham,39,GK,721,60.3,,ENG-Premier League,2324
211,Ezri Konsa,Aston Villa,26,D(CR),3074,92.2,,ENG-Premier League,2324
212,Mateo Kovacic,Man City,30,M(CL),1549,94.1,,ENG-Premier League,2324
213,Jack Hinshelwood,Brighton,19,D(R),871,84.4,,ENG-Premier League,2324
214,Abdoulaye Doucouré,Everton,31,M(C),2643,78.5,,ENG-Premier League,2324
215,Ederson,Man City,30,GK,2789,85.9,,ENG-Premier League,2324
216,Timothy Castagne,Fulham,28,"D(CLR),M(LR)",2634,81.3,,ENG-Premier League,2324
217,Youri Tielemans,Aston Villa,27,M(C),1622,86,,ENG-Premier League,2324
218,Sèrge Aurier,Nottingham Forest,31,"D(CLR),M(R)",835,80.6,,ENG-Premier League,2324
219,Ben Davies,Tottenham,31,"D(CL),M(L)",1086,91.3,,ENG-Premier League,2324
220,Vinicius Souza,Sheff Utd,25,DMC,2673,80.3,,ENG-Premier League,2324
221,Wilson Odobert,Burnley,19,"AM(CLR),FW",2109,79.4,,ENG-Premier League,2324
222,Djordje Petrovic,Chelsea,24,GK,1986,76.4,,ENG-Premier League,2324
223,Jack Harrison,Everton,27,"AM(CLR),FW",2220,72.7,,ENG-Premier League,2324
224,Anthony Elanga,Nottingham Forest,22,"AM(LR),FW",2434,75.3,,ENG-Premier League,2324
225,Harvey Barnes,Newcastle,26,AM(CL),795,79.1,,ENG-Premier League,2324
226,Gabriel Osho,Luton,25,"D(CR),DMC",1848,82.5,,ENG-Premier League,2324
227,Kristoffer Ajer,Brentford,26,"D(CR),DMC",1836,75.9,,ENG-Premier League,2324
228,Josh Brownhill,Burnley,28,M(CR),2253,80.3,,ENG-Premier League,2324
229,Nicolás Domínguez,Nottingham Forest,25,M(CL),1505,85.4,,ENG-Premier League,2324
230,Ola Aina,Nottingham Forest,27,"D(CLR),M(LR)",1701,79.9,,ENG-Premier League,2324
231,Jamaal Lascelles,Newcastle,30,D(C),1081,86.7,,ENG-Premier League,2324
232,Pau Torres,Aston Villa,27,D(C),2464,87.8,,ENG-Premier League,2324
233,Dango Ouattara,Bournemouth,22,"D(L),M(LR)",1222,67.6,,ENG-Premier League,2324
234,Joe Gomez,Liverpool,27,D(CLR),1779,86.2,,ENG-Premier League,2324
235,Michail Antonio,West Ham,34,"D(R),M(CLR),FW",1711,64.6,,ENG-Premier League,2324
236,Jonny Evans,Man Utd,36,D(CL),1396,87.9,,ENG-Premier League,2324
237,Nélson Semedo,Wolves,30,"D(LR),M(R)",3091,80.9,,ENG-Premier League,2324
238,Miguel Almirón,Newcastle,30,"AM(CLR),FW",1947,85.8,,ENG-Premier League,2324
239,Takehiro Tomiyasu,Arsenal,25,D(CLR),1144,85.5,,ENG-Premier League,2324
240,Wataru Endo,Liverpool,31,DMC,1723,88.4,,ENG-Premier League,2324
241,Elijah Adebayo,Luton,26,FW,1419,72.6,,ENG-Premier League,2324
242,Ivan Perisic,Tottenham,35,"M(CLR),FW",99,80.3,,ENG-Premier League,2324
243,Axel Disasi,Chelsea,26,D(CR),2581,90.6,,ENG-Premier League,2324
244,Vladimír Coufal,West Ham,31,"D(R),M(R)",3140,73,,ENG-Premier League,2324
245,Jakub Kiwior,Arsenal,24,"D(CL),DMC",946,85.8,,ENG-Premier League,2324
246,Taiwo Awoniyi,Nottingham Forest,26,FW,1047,73.8,,ENG-Premier League,2324
247,Sander Berge,Burnley,26,M(C),3009,88.8,,ENG-Premier League,2324
248,Gustavo Hamer,Sheff Utd,27,"D(R),M(C)",2924,73.5,,ENG-Premier League,2324
249,Danny Welbeck,Brighton,33,"AM(CLR),FW",1707,83.2,,ENG-Premier League,2324
250,Sven Botman,Newcastle,24,D(C),1378,90.5,,ENG-Premier League,2324
251,Lewis Miley,Newcastle,18,M(C),1208,83.8,,ENG-Premier League,2324
252,Lyle Foster,Burnley,23,FW,1908,68.1,,ENG-Premier League,2324
253,Raphaël Varane,Man Utd,31,D(C),1374,89.3,,ENG-Premier League,2324
254,Reece Burke,Luton,27,D(CR),1666,77.5,,ENG-Premier League,2324
255,John Stones,Man City,30,"D(CR),DMC",1064,93.6,,ENG-Premier League,2324
256,Kenny Tete,Fulham,28,"D(CR),M(R)",868,80.6,,ENG-Premier League,2324
257,Odsonne Édouard,Crystal Palace,26,"AM(L),FW",1556,73.3,,ENG-Premier League,2324
258,Konstantinos Mavropanos,West Ham,26,D(CR),1501,76.7,,ENG-Premier League,2324
259,Marc Guéhi,Crystal Palace,23,D(C),2023,87.2,,ENG-Premier League,2324
260,Alex Iwobi,Everton,28,M(CLR),140,76.7,,ENG-Premier League,2324
261,Justin Kluivert,Bournemouth,25,"AM(CLR),FW",1937,72.4,,ENG-Premier League,2324
262,Issa Kaboré,Luton,23,"D(R),M(R)",1734,76,,ENG-Premier League,2324
263,Danilo,Nottingham Forest,23,M(C),1801,80.6,,ENG-Premier League,2324
264,Toti Gomes,Wolves,25,D(CL),2779,82.8,,ENG-Premier League,2324
265,Lewis Hall,Newcastle,19,"D(L),M(L)",777,83.1,,ENG-Premier League,2324
266,Ben Mee,Brentford,34,D(CL),1276,76.4,,ENG-Premier League,2324
267,Antony,Man Utd,24,AM(R),1324,80,,ENG-Premier League,2324
268,Tyler Adams,Bournemouth,25,"D(R),M(CR)",118,84.1,,ENG-Premier League,2324
269,David Raya,Arsenal,28,GK,2880,70.8,,ENG-Premier League,2324
270,Rico Lewis,Man City,19,"D(R),M(C)",808,91,,ENG-Premier League,2324
271,Eddie Nketiah,Arsenal,25,FW,1073,79.9,,ENG-Premier League,2324
272,Sandro Tonali,Newcastle,24,DMC,439,88,,ENG-Premier League,2324
273,Illia Zabarnyi,Bournemouth,21,D(C),3330,81.6,,ENG-Premier League,2324
274,Oliver Arblaster,Sheff Utd,20,M(C),946,81.5,,ENG-Premier League,2324
275,Will Hughes,Crystal Palace,29,M(CLR),1899,85.1,,ENG-Premier League,2324
276,Harry Wilson,Fulham,27,AM(CLR),1616,79.2,,ENG-Premier League,2324
277,Tom Cairney,Fulham,33,M(CR),1480,90.3,,ENG-Premier League,2324
278,Nathaniel Clyne,Crystal Palace,33,"D(CLR),M(R)",1339,84.2,,ENG-Premier League,2324
279,Zanka,Brentford,34,D(C),1087,75.4,,ENG-Premier League,2324
280,Kurt Zouma,West Ham,29,D(CR),2841,83.9,,ENG-Premier League,2324
281,Igor Julio,Brighton,26,"D(CL),M(L)",1638,93.6,,ENG-Premier League,2324
282,Issa Diop,Fulham,27,D(C),1426,88.1,,ENG-Premier League,2324
283,Adam Smith,Bournemouth,33,"D(LR),M(LR)",2158,77.1,,ENG-Premier League,2324
284,Emerson Royal,Tottenham,25,"D(CLR),M(R)",1155,91.2,,ENG-Premier League,2324
285,Joël Veltman,Brighton,32,"D(CR),M(R)",1583,84.9,,ENG-Premier League,2324
286,Zeki Amdouni,Burnley,23,FW,1972,80.9,,ENG-Premier League,2324
287,Thomas Kaminski,Luton,31,GK,3406,55,,ENG-Premier League,2324
288,David Datro Fofana,Burnley,21,FW,880,69,,ENG-Premier League,2324
289,Harry Toffolo,Nottingham Forest,28,"D(L),M(L)",1456,76.2,,ENG-Premier League,2324
290,Ibrahim Sangaré,Nottingham Forest,26,DMC,1040,80.7,,ENG-Premier League,2324
291,Tino Livramento,Newcastle,21,D(LR),1306,86.8,,ENG-Premier League,2324
292,Amari'i Bell,Luton,30,"D(CL),M(L)",1722,79.6,,ENG-Premier League,2324
293,Julio Enciso,Brighton,20,AM(CL),475,77.2,,ENG-Premier League,2324
294,Ryan Yates,Nottingham Forest,26,DMC,1986,80.3,,ENG-Premier League,2324
295,Victor Lindelöf,Man Utd,29,D(CLR),1333,89.5,,ENG-Premier League,2324
296,James Milner,Brighton,38,"D(LR),M(CLR)",779,86.4,,ENG-Premier League,2324
297,Ryan Gravenberch,Liverpool,22,DMC,1122,83.4,,ENG-Premier League,2324
298,Dean Henderson,Crystal Palace,27,GK,1620,53.7,,ENG-Premier League,2324
299,Jóhann Gudmundsson,Burnley,33,M(CLR),1194,78.3,,ENG-Premier League,2324
300,Christopher Nkunku,Chelsea,26,"M(CLR),FW",437,89.3,,ENG-Premier League,2324
301,Giovani Lo Celso,Tottenham,28,"M(CR),FW",498,91.5,,ENG-Premier League,2324
302,Evan Ferguson,Brighton,19,FW,1366,81.3,,ENG-Premier League,2324
303,Reece James,Chelsea,24,"D(CR),DMC,M(R)",421,84.3,,ENG-Premier League,2324
304,Chris Mepham,Bournemouth,26,D(C),615,82.8,,ENG-Premier League,2324
